Dataset,Dependent_Variable,Metric,AIC,BIC,Pseudo_R2,Parameter,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
5 segments,Staging_z,Genre,5487.706682452954,-13379.957075670554,0.10402593194422816,"np.power(Relative_Segment, 2):genre[T.Suspense]",-0.164214409112793,0.12699217922152134,-1.2931064741108373,0.19597423630145439,-0.41311450670523064,0.08468568847964461
5 segments,Staging_z,Gender,5478.269452180422,-13400.028892130726,0.10645237472761504,Intercept,0.6614602147751586,0.054149729638068016,12.215392748889052,2.5725612100178827e-34,0.5553286949119641,0.7675917346383531
5 segments,Staging_z,Gender,5478.269452180422,-13400.028892130726,0.10645237472761504,Gender[T.male],-0.17796890869256862,0.061333467242219525,-2.901660654365581,0.003711903941219487,-0.2981802955342861,-0.05775752185085116
5 segments,Staging_z,Gender,5478.269452180422,-13400.028892130726,0.10645237472761504,Gender[T.unknown/multiple],0.10097068255808103,0.17299507323630875,0.5836621856863897,0.5594476131564229,-0.23809343048795314,0.4400347956041152
5 segments,Staging_z,Gender,5478.269452180422,-13400.028892130726,0.10645237472761504,"np.power(Relative_Segment, 1)",-2.5917995935187714,0.21087092850984235,-12.290928919572712,1.0133483029566997e-34,-3.0050990187845827,-2.17850016825296
5 segments,Staging_z,Gender,5478.269452180422,-13400.028892130726,0.10645237472761504,"np.power(Relative_Segment, 2)",1.6918388852912725,0.2105463108205088,8.035471524996556,9.321970837434148e-16,1.2791756990052994,2.1045020715772456
5 segments,Staging_z,Gender,5478.269452180422,-13400.028892130726,0.10645237472761504,"np.power(Relative_Segment, 2):Gender[T.male]",0.47458375651351475,0.11662747422071865,4.069227767167111,4.7169218226897214e-05,0.2459981074330326,0.7031694055939969
5 segments,Staging_z,Gender,5478.269452180422,-13400.028892130726,0.10645237472761504,"np.power(Relative_Segment, 2):Gender[T.unknown/multiple]",-0.2692551534882177,0.32895545207806504,-0.818515552143274,0.41306286533610026,-0.9139959920793168,0.3754856851028814
5 segments,Staging_z,Genre and Gender Interaction,5321.9593880179455,-12835.29443428772,0.1042222546790067,Intercept,0.5991661422908026,0.08693924496764704,6.891779914971335,5.509857363051486e-12,0.4287683533111092,0.7695639312704959
5 segments,Staging_z,Genre and Gender Interaction,5321.9593880179455,-12835.29443428772,0.1042222546790067,genre[T.Other],-0.1983818410683919,0.171471381934004,-1.1569384863577132,0.24729749327249628,-0.5344595740383518,0.137695891901568
5 segments,Staging_z,Genre and Gender Interaction,5321.9593880179455,-12835.29443428772,0.1042222546790067,genre[T.Romantic],0.17200327907803648,0.12501038154738348,1.3759119598626373,0.16884889200298925,-0.0730125664484457,0.4170191246045186
5 segments,Staging_z,Genre and Gender Interaction,5321.9593880179455,-12835.29443428772,0.1042222546790067,genre[T.Suspense],0.0756154733087492,0.10425939030018742,0.72526295320771,0.46829072866227883,-0.12872917672972278,0.2799601233472212
5 segments,Staging_z,Genre and Gender Interaction,5321.9593880179455,-12835.29443428772,0.1042222546790067,Gender[T.male],-0.12894801326220187,0.10259533688729508,-1.2568603717716353,0.20880420036235725,-0.3300311785430539,0.07213515201865017
5 segments,Staging_z,Genre and Gender Interaction,5321.9593880179455,-12835.29443428772,0.1042222546790067,genre[T.Other]:Gender[T.male],0.20453610076711862,0.25860668704165984,0.7909157458645654,0.4289931592968147,-0.3023236919957558,0.711395893529993
5 segments,Staging_z,Genre and Gender Interaction,5321.9593880179455,-12835.29443428772,0.1042222546790067,genre[T.Romantic]:Gender[T.male],-1.6959673139689753e-15,3.348312165632264e-16,-5.065140972746562,4.080982331629465e-07,-2.35222443933263e-15,-1.0397101886053204e-15
5 segments,Staging_z,Genre and Gender Interaction,5321.9593880179455,-12835.29443428772,0.1042222546790067,genre[T.Suspense]:Gender[T.male],-0.07233326712689815,0.13779708739241794,-0.5249259508722981,0.5996346684130013,-0.34241059559055564,0.19774406133675937
5 segments,Staging_z,Genre and Gender Interaction,5321.9593880179455,-12835.29443428772,0.1042222546790067,"np.power(Relative_Segment, 1)",-2.518558738334895,0.21509997860828428,-11.70878190983649,1.1491870189020562e-31,-2.940146949482468,-2.096970527187322
5 segments,Staging_z,Genre and Gender Interaction,5321.9593880179455,-12835.29443428772,0.1042222546790067,"np.power(Relative_Segment, 2)",1.76030193833772,0.24984750991173044,7.045505232209933,1.847897670252992e-12,1.2706098172837144,2.249994059391726
5 segments,Staging_z,Genre and Gender Interaction,5321.9593880179455,-12835.29443428772,0.1042222546790067,"np.power(Relative_Segment, 2):genre[T.Other]",0.5290182428490466,0.32605810620687875,1.6224661579595658,0.10470357358549263,-0.11004390218377158,1.1680803878818649
5 segments,Staging_z,Genre and Gender Interaction,5321.9593880179455,-12835.29443428772,0.1042222546790067,"np.power(Relative_Segment, 2):genre[T.Romantic]",-0.4586754108747746,0.23771108510239577,-1.9295499436940302,0.053662626136603754,-0.9245805764014061,0.0072297546518569344
5 segments,Staging_z,Genre and Gender Interaction,5321.9593880179455,-12835.29443428772,0.1042222546790067,"np.power(Relative_Segment, 2):genre[T.Suspense]",-0.20164126215666775,0.19825243706641582,-1.0170934851565867,0.3091089592129146,-0.5902088986541364,0.18692637434080092
5 segments,Staging_z,Genre and Gender Interaction,5321.9593880179455,-12835.29443428772,0.1042222546790067,"np.power(Relative_Segment, 2):Gender[T.male]",0.34386136869920936,0.19508818832522665,1.762594504829614,0.07796890455826919,-0.03850445422740234,0.7262271916258211
5 segments,Staging_z,Genre and Gender Interaction,5321.9593880179455,-12835.29443428772,0.1042222546790067,"np.power(Relative_Segment, 2):genre[T.Other]:Gender[T.male]",-0.5454296020456297,0.49174856864271915,-1.1091635783528078,0.2673596215519777,-1.5092390860344818,0.4183798819432224
5 segments,Staging_z,Genre and Gender Interaction,5321.9593880179455,-12835.29443428772,0.1042222546790067,"np.power(Relative_Segment, 2):genre[T.Romantic]:Gender[T.male]",0.0,0.0,,,0.0,0.0
5 segments,Staging_z,Genre and Gender Interaction,5321.9593880179455,-12835.29443428772,0.1042222546790067,"np.power(Relative_Segment, 2):genre[T.Suspense]:Gender[T.male]",0.19288871233839353,0.2620253995111977,0.7361450939421252,0.46164240233172005,-0.320671633738273,0.7064490584150601
5 segments,PlotProgression_z,Literary Quality,5397.816176356255,-13482.264268723156,0.13988308690364903,Intercept,-0.7428187085662046,0.1334587854716804,-5.565903405616026,2.607976896642813e-08,-1.0043931215111557,-0.48124429562125354
5 segments,PlotProgression_z,Literary Quality,5397.816176356255,-13482.264268723156,0.13988308690364903,"np.power(Relative_Segment, 1)",2.735337202439541,0.2067851492863112,13.227918986833236,6.054045743940147e-40,2.3300457573006326,3.1406286475784495
5 segments,PlotProgression_z,Literary Quality,5397.816176356255,-13482.264268723156,0.13988308690364903,"np.power(Relative_Segment, 2)",-1.666266380409529,0.31118385553362005,-5.354604201918525,8.57438968919206e-08,-2.2761755298257396,-1.0563572309933185
5 segments,PlotProgression_z,Literary Quality,5397.816176356255,-13482.264268723156,0.13988308690364903,Literary_Quality,0.014046310852382386,0.029437346342229834,0.47715954723242215,0.6332485145276414,-0.04364982777881998,0.07174244948358476
5 segments,PlotProgression_z,Literary Quality,5397.816176356255,-13482.264268723156,0.13988308690364903,"np.power(Relative_Segment, 2):Literary_Quality",-0.0374568289396867,0.055976019390789514,-0.6691584958584957,0.5033943786236077,-0.14716781094354986,0.07225415306417644
5 segments,PlotProgression_z,Literary Category,5400.478707932346,-13468.207465651369,0.14045665079776104,Intercept,-0.6546992238836108,0.060407985485518956,-10.83795823716975,2.2749151074456936e-27,-0.7730966998138463,-0.5363017479533753
5 segments,PlotProgression_z,Literary Category,5400.478707932346,-13468.207465651369,0.14045665079776104,literary_category[T.Medium],-0.06640381409836911,0.0723765607382965,-0.9174767828285734,0.35889285360695045,-0.20825926647030596,0.07545163827356773
5 segments,PlotProgression_z,Literary Category,5400.478707932346,-13468.207465651369,0.14045665079776104,literary_category[T.High],-0.017334871493230698,0.07251247928194046,-0.23906052675195205,0.8110586494916742,-0.15945671931554084,0.12478697632907944
5 segments,PlotProgression_z,Literary Category,5400.478707932346,-13468.207465651369,0.14045665079776104,"np.power(Relative_Segment, 1)",2.735337202439512,0.2068196267380275,13.22571385308748,6.2342515328335995e-40,2.3299781827369612,3.140696222142063
5 segments,PlotProgression_z,Literary Category,5400.478707932346,-13468.207465651369,0.14045665079776104,"np.power(Relative_Segment, 2)",-1.9012516728963895,0.21363176898704622,-8.899667319665708,5.601432737328879e-19,-2.319962246064581,-1.482541099728198
5 segments,PlotProgression_z,Literary Category,5400.478707932346,-13468.207465651369,0.14045665079776104,"np.power(Relative_Segment, 2):literary_category[T.Medium]",0.17707683759565424,0.13762625612464244,1.2866501101016874,0.19821626944706094,-0.09266566773572998,0.44681934292703845
5 segments,PlotProgression_z,Literary Category,5400.478707932346,-13468.207465651369,0.14045665079776104,"np.power(Relative_Segment, 2):literary_category[T.High]",0.04622632398194875,0.13788470941544143,0.33525344599792123,0.7374339083078263,-0.22402274049108734,0.31647538845498485
5 segments,PlotProgression_z,General Quality,5392.3402565353,-13486.96777410505,0.14222897487466768,Intercept,-1.3324681027705214,0.3771120141736244,-3.5333483227533717,0.00041033146385658,-2.0715940686881837,-0.5933421368528592
5 segments,PlotProgression_z,General Quality,5392.3402565353,-13486.96777410505,0.14222897487466768,"np.power(Relative_Segment, 1)",2.735337202439523,0.20650296322454464,13.24599492291646,4.759325577680269e-40,2.330598831818616,3.1400755730604297
5 segments,PlotProgression_z,General Quality,5392.3402565353,-13486.96777410505,0.14222897487466768,"np.power(Relative_Segment, 2)",-0.09386799586461599,0.7392989139166501,-0.1269689351595596,0.8989649856706595,-1.5428672409508282,1.3551312492215961
